본부 구분,팀 구분,근무형태,Opark 근무기호,팀 근무기호,실제 근무,법정 근로시간,연장 근로시간,소정 근로시간,비고,등록자,등록시간
SO,백본SO팀,선택근무제,주,병가,휴,0,0.0,8.0,병가,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,선택근무제,주,숙대(주),숙(대체),0,0.0,0.0,주간패턴에 숙휴 대체근무,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,주,야대(주),야(대체),0,0.0,13.5,주간패턴에 야간 대체근무,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,주,야대(주)-1,야(대체)-1인,0,0.0,13.5,분당국사 주간패턴에 야간 대체 1인근무,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,주,접종1(주),휴,0,0.0,8.0,주간근무에 접종1차 휴가,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,주,접종2(주),휴,0,0.0,8.0,주간근무에 접종2차휴가,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,주,접종3(주),휴,0,0.0,8.0,주간근무에 접종3차 휴가,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,선택근무제,주,조근,주,0,0.0,8.0,07시~16시,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,선택근무제,주,주(+1),주,0,0.0,9.0,주간 9시간,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,선택근무제,주,주(+1/2),주,0,0.0,8.5,주간 8.5시간,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,선택근무제,주,주(-1),주,0,0.0,7.0,주간 7시간,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,선택근무제,주,주(-1/2),주,0,0.0,7.5,주간 7.5시간,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,선택근무제,주,주(검),주,0,0.0,8.0,기간망 작업검토 근무,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,주,주(검)-H,주-재택,0,0.0,8.0,기간망 작업검토 재택 근무,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,주,주(교육),주,0,0.0,8.0,주간 교육,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,선택근무제,주,주(국),주,0,0.0,8.0,주간 국데이터 업무,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,선택근무제,주,주(국데_교),주,0,0.0,8.0,주간 국데이터 업무 교육,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,선택근무제,주,주(백본),주,0,0.0,8.0,주간 백본망 Multi 근무,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,선택근무제,주,주(백본_교),주,0,0.0,8.0,주간 백본망 Multi 근무 교육,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,선택근무제,주,주(상),주,0,0.0,8.0,주간 상황장,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,선택근무제,주,주(센),주,0,0.0,8.0,기간망 센싱 근무,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,주,주(센)-H,주,0,0.0,8.0,기간망 센싱 재택 근무,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,주,주(심폐),주,0,0.0,8.0,중대재해 대응 훈련,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,선택근무제,주,주(파견),주,0,0.0,8.0,중대재해 대응 훈련,유석현 (백본SO팀),2024-03-28 09:23:11
SO,백본SO팀,선택근무제,주,주(현),주,0,0.0,8.0,기간망 현장대리 근무,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,선택근무제,주,주(F),비,0,0.0,0.0,,박운제 (백본SO팀),2024-02-16 15:10:08
SO,백본SO팀,선택근무제,주,주-건,주,0,0.0,8.0,건강검진 후 주간근무,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,주,주-A,주,0,0.0,8.0,주간 A자리,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,주,주-A(상),주,0,0.0,8.0,주간 상황장,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,선택근무제,주,주-B,주,0,0.0,8.0,주간 B자리,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,주,주-BB,주,0,0.0,8.0,전국망→기간망 근무,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,주,주-C,주,0,0.0,8.0,주간 C자리,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,주,주-D,주,0,0.0,8.0,주간 D자리,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,주,주-E,주,0,0.0,8.0,주간 E자리,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,주,주-F,주,0,0.0,8.0,선택근무자 주간 F자리 ,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,주,주-H,주-재택,0,0.0,8.0,주간 재택근무,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,주,파견,주-파견,0,0.0,8.0,파견,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,선택근무제,주,휴가(주),휴,0,0.0,8.0,주간패턴에 휴가,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,주,휴경(주),휴,0,0.0,8.0,주간패턴에 휴가,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,주,휴반(주),주,0,0.0,8.0,주간패턴에 반차,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,휴,숙대(휴),숙(대체),0,0.0,0.0,공휴일 패턴에 숙휴 대체근무,ITOS 시스템,2023-12-28 23:25:28
SO,백본SO팀,선택근무제,휴,야대(휴),야(대체),0,0.0,13.5,공휴일 패턴에 야간 대체근무,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,선택근무제,휴,주(검)대(휴),주(대체),0,0.0,8.0,공휴일 패턴에 주간 대체근무,박운제 (백본SO팀),2024-06-26 20:16:59
SO,백본SO팀,선택근무제,휴,주(센)대(휴),주(대체),0,0.0,8.0,공휴일 패턴에 주간 대체근무,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,선택근무제,휴,주대(휴),주(대체),0,0.0,8.0,공휴일 패턴에 주간 대체근무,ITOS 시스템,2023-12-28 23:25:27
